预测结果_Y,Mean,Standard Deviation,Bandwidth,Energy,Entropy,Autocorrelation Peak,Peak Frequency,Autocorrelation Lag,Peak Value,Duration
6.4799999999999995,0.001869636021875,0.0106926604650978,-23,0.00754102570727412,0.747884609459985,0.00754102570727412,8,63,0.02444739,64
5.0,0.0037334529765625,0.00949246620517831,-23,0.00665891749021797,1.42391755737897,0.00665891749021797,0,63,0.02070463,64
5.44,0.000276246784375,0.0109853346787927,-15,0.0077282489786217,0.126242294698888,0.0077282489786217,8,63,0.01976925,64
4.92,0.001343369296875,0.00913355121883592,-20,0.00545448953183268,0.506997416632575,0.00545448953183268,8,63,0.02397961,64
5.640000000000001,0.003331428159375,0.00940105025377847,-24,0.00636660220512928,1.22506644366316,0.00636660220512928,0,63,0.03052813,64
5.279999999999999,0.0020158163515625,0.00942413549650107,-20,0.00594418210685685,0.81414236346359,0.00594418210685685,8,63,0.02538295,64
5.720000000000001,0.001730795678125,0.0121328791403962,-16,0.00961295423455215,0.640797676749788,0.00961295423455215,8,63,0.03006035,64
4.92,0.0034557016265625,0.00916189473596234,-23,0.00613646008861959,1.34235032463078,0.00613646008861959,0,63,0.02491517,64
4.5600000000000005,-0.0009004712078125,0.0102860404879992,-21,0.00682326254827888,-0.255882882200016,0.00682326254827888,8,63,0.0188337,64
5.720000000000001,0.0002908847890625,0.00958104037086404,-16,0.0058803807071126,0.162695460887771,0.0058803807071126,8,63,0.02257646,64
5.44,0.001197234525,0.0100035917043224,-15,0.00649633391965692,0.416741956946527,0.00649633391965692,8,63,0.02538295,64
5.88,0.0009779235890625,0.00949575576892613,-15,0.00583204557882488,0.418585148081437,0.00583204557882488,23,63,0.0211724,64
5.64,0.002096212428125,0.0111464167211321,-16,0.00823274958495733,0.814620971962201,0.00823274958495733,16,63,0.02818943,64
6.040000000000001,0.000356673884375,0.0102498110493926,-18,0.00673189393971496,0.223916414907777,0.00673189393971496,21,63,0.01930148,64
6.2,0.0014237882953125,0.0100000883288501,-22,0.00652985214045904,0.621179959917977,0.00652985214045904,3,63,0.02585072,64
4.64,0.0024324161421875,0.0115233039797196,-24,0.00887700370545891,0.986182922961313,0.00887700370545891,1,63,0.02304424,64
5.68,0.0014676310890625,0.0105657261976475,-19,0.00728246471022322,0.634517237890792,0.00728246471022322,8,63,0.02304424,64
5.68,0.0014895780765625,0.00960769722530281,-18,0.00604970808443308,0.658966303628209,0.00604970808443308,8,63,0.02210796,64
4.92,0.003528777396875,0.0094009484808133,-23,0.00645312654435852,1.32604066229978,0.00645312654435852,0,63,0.02538295,64
4.92,0.0026005632203125,0.011197322108749,-19,0.00845714889407492,0.973545773459333,0.00845714889407492,8,63,0.02351202,64
4.96,0.0021108077296875,0.0108940664385343,-23,0.00788071634169015,0.893958455653176,0.00788071634169015,8,63,0.02164018,64
5.84,-0.001200183653125,0.0095739111729967,-18,0.0059584138207782,-0.434884256510849,0.0059584138207782,8,63,0.02070463,64
5.76,-0.000710445446875,0.0102439667488949,-19,0.00674838959906875,-0.190039183566918,0.00674838959906875,22,63,0.01649499,64
4.88,-0.0018798459859375,0.010671621624899,-23,0.00751470905829486,-0.841313056913491,0.00751470905829486,2,63,0.03239979,64
